,0,1,2,3,4,5,6
0,남해도남안3_연안,투명도[m],0.9246835142579373,0.3,0.8,additive,7.975299075965803
1,남해도남안3_연안,화학적산소요구량[mg/L],2.2751431418809003,0.5,0.9,additive,1.21841040604538
2,남해도남안3_연안,염분[psu],2.3543272480754496,0.3,0.8,multiplicative,33.24658851414133
3,남해도남안3_연안,클로로필-a[μg/L],2.4293627652326952,0.7,0.8,additive,0.627529087799788
4,남해도남안3_연안,총인[μg/L],0.4526055717670648,0.7,0.8,multiplicative,17.053983140590066
5,남해도남안3_연안,수온[℃],0.7314589386747348,0.3,0.8,additive,18.646505908743475
6,남해도남안3_연안,총질소[μg/L],0.5060466164393046,0.7,0.9,multiplicative,125.34523651772112
7,남해도남안3_연안,용존산소[mg/L],1.4240787535684232,0.7,0.8,multiplicative,8.606799271360464
0,남해도남안4_연안,투명도[m],0.481312338085708,0.7,0.8,multiplicative,4.358718357782743
1,남해도남안4_연안,화학적산소요구량[mg/L],1.2181993207679425,0.5,0.8,multiplicative,1.3046733510809907
2,남해도남안4_연안,염분[psu],1.9258035452336009,0.5,0.9,multiplicative,33.16706469051067
3,남해도남안4_연안,클로로필-a[μg/L],1.431626358577631,0.3,0.9,additive,1.2017849818843616
4,남해도남안4_연안,총인[μg/L],0.3428720365072984,0.5,0.9,multiplicative,18.572073522318416
5,남해도남안4_연안,수온[℃],0.928277233882208,0.7,0.8,additive,18.332034048995585
6,남해도남안4_연안,총질소[μg/L],0.5027777665674806,0.7,0.9,multiplicative,121.06751198637414
7,남해도남안4_연안,용존산소[mg/L],0.6510470853474101,0.7,0.9,multiplicative,8.744454869020318
0,남해도남안5_연안,투명도[m],0.7108549362246327,0.5,0.9,additive,3.884920852146743
1,남해도남안5_연안,화학적산소요구량[mg/L],0.47541164137618663,0.7,0.9,multiplicative,1.4541839516542037
2,남해도남안5_연안,염분[psu],1.5955716056530058,0.5,0.8,multiplicative,32.95014524305058
3,남해도남안5_연안,클로로필-a[μg/L],2.9463106602801994,0.3,0.9,additive,0.22756141996360413
4,남해도남안5_연안,총인[μg/L],0.5139811347833523,0.7,0.9,multiplicative,22.005901424400562
5,남해도남안5_연안,수온[℃],0.9250923662478642,0.7,0.9,additive,17.55617353539958
6,남해도남안5_연안,총질소[μg/L],0.3295478847581452,0.3,0.9,multiplicative,183.90660258420232
7,남해도남안5_연안,용존산소[mg/L],1.0400229379368526,0.7,0.9,additive,8.112146261035925
0,도암만1_환경관리,투명도[m],0.5960649500918634,0.7,0.9,additive,1.769500533594107
1,도암만1_환경관리,화학적산소요구량[mg/L],0.2385619450288659,0.7,0.8,multiplicative,1.2852843178433266
2,도암만1_환경관리,염분[psu],1.1547914645566746,0.7,0.9,multiplicative,32.79036218047102
3,도암만1_환경관리,클로로필-a[μg/L],0.4241496231576205,0.7,0.9,multiplicative,1.4939060819724503
4,도암만1_환경관리,총인[μg/L],0.358765628774092,0.5,0.8,additive,28.286411026110606
5,도암만1_환경관리,수온[℃],0.9787041714105947,0.7,0.9,multiplicative,15.991370794792862
6,도암만1_환경관리,총질소[μg/L],0.3319114485566789,0.7,0.9,multiplicative,277.1030796493522
7,도암만1_환경관리,용존산소[mg/L],0.2581436386859014,0.5,0.9,additive,8.763153815561518
0,도암만2_환경관리,투명도[m],0.4333932097403878,0.5,0.9,multiplicative,1.508369801917224
1,도암만2_환경관리,화학적산소요구량[mg/L],0.510453603021086,0.3,0.9,additive,1.6687114238940226
2,도암만2_환경관리,염분[psu],1.3989626125568273,0.3,0.9,additive,32.32298217548125
3,도암만2_환경관리,클로로필-a[μg/L],0.7864875708652619,0.3,0.9,additive,2.1992959587822036
4,도암만2_환경관리,총인[μg/L],0.32683529682017826,0.3,0.8,multiplicative,28.588846590861316
5,도암만2_환경관리,수온[℃],1.020642245735883,0.7,0.9,additive,17.701727716229872
6,도암만2_환경관리,총질소[μg/L],0.35047649904777867,0.3,0.9,multiplicative,286.30749971409784
7,도암만2_환경관리,용존산소[mg/L],0.49715126040606955,0.7,0.8,additive,9.129515525962997
0,동해연안1_연안,투명도[m],0.38619469083449615,0.5,0.8,multiplicative,7.220404634577438
1,동해연안1_연안,화학적산소요구량[mg/L],0.5611451630488006,0.5,0.8,additive,1.1059828448296476
2,동해연안1_연안,염분[psu],2.3573274485262754,0.3,0.9,multiplicative,33.79619399644343
3,동해연안1_연안,클로로필-a[μg/L],0.6709159435238561,0.3,0.9,multiplicative,0.04544205462080264
4,동해연안1_연안,총인[μg/L],0.47104319240462517,0.3,0.9,multiplicative,14.969674674687237
5,동해연안1_연안,수온[℃],0.42584208047914424,0.7,0.9,additive,16.373483622624224
6,동해연안1_연안,총질소[μg/L],0.47128563458389294,0.7,0.9,multiplicative,204.1152047402648
7,동해연안1_연안,용존산소[mg/L],0.43687523522532956,0.5,0.9,multiplicative,8.618476538524444
0,동해연안2_연안,투명도[m],1.1786299940125466,0.5,0.9,multiplicative,9.953115153470248
1,동해연안2_연안,화학적산소요구량[mg/L],0.895261113710148,0.7,0.8,additive,1.3153491654935379
2,동해연안2_연안,염분[psu],1.7778105484849116,0.3,0.9,multiplicative,33.66754154040825
3,동해연안2_연안,클로로필-a[μg/L],2.2908491393060837,0.3,0.9,multiplicative,0.23572750883974794
4,동해연안2_연안,총인[μg/L],0.47170005575747714,0.3,0.9,multiplicative,15.636232197938376
5,동해연안2_연안,수온[℃],0.39028091772704654,0.3,0.8,additive,16.524209613779966
6,동해연안2_연안,총질소[μg/L],0.5297173845401891,0.7,0.9,multiplicative,180.44801368682087
7,동해연안2_연안,용존산소[mg/L],0.6974427294737134,0.7,0.9,additive,8.849444874990242
0,동해연안3_연안,투명도[m],0.7772907723954737,0.7,0.9,multiplicative,9.73683369821129
1,동해연안3_연안,화학적산소요구량[mg/L],0.797756387722041,0.3,0.8,multiplicative,0.9310949318809367
2,동해연안3_연안,염분[psu],1.5913216268185217,0.3,0.9,multiplicative,33.773130014958426
3,동해연안3_연안,클로로필-a[μg/L],2.1776981999071614,0.7,0.9,multiplicative,0.29335310647630497
4,동해연안3_연안,총인[μg/L],0.3954441901498535,0.5,0.9,multiplicative,17.70623562524332
5,동해연안3_연안,수온[℃],0.389893728096224,0.7,0.9,additive,16.413381326818378
6,동해연안3_연안,총질소[μg/L],0.5324597005071944,0.7,0.9,multiplicative,179.5851174752199
7,동해연안3_연안,용존산소[mg/L],0.7813502807505388,0.7,0.8,multiplicative,8.801943750189851
0,동해연안4_연안,투명도[m],1.2248685863489077,0.5,0.9,multiplicative,10.900551313062191
1,동해연안4_연안,화학적산소요구량[mg/L],0.2944250251600573,0.7,0.9,multiplicative,0.9622301731653174
2,동해연안4_연안,염분[psu],1.4113571061726173,0.3,0.8,multiplicative,33.937249706666975
3,동해연안4_연안,클로로필-a[μg/L],2.9554284783776015,0.7,0.8,additive,0.2852911781800356
4,동해연안4_연안,총인[μg/L],0.4579013641074032,0.3,0.8,multiplicative,16.88887574974641
5,동해연안4_연안,수온[℃],0.417605673349189,0.3,0.9,additive,16.192510783848594
6,동해연안4_연안,총질소[μg/L],0.8778213286190805,0.5,0.9,multiplicative,133.7409028263149
7,동해연안4_연안,용존산소[mg/L],0.3900227323974042,0.3,0.9,multiplicative,8.6556751197744
0,득량만1_환경관리,투명도[m],1.1210940187818896,0.7,0.9,multiplicative,1.1797635183461184
1,득량만1_환경관리,화학적산소요구량[mg/L],0.5153554072613207,0.5,0.9,multiplicative,1.155616320236244
2,득량만1_환경관리,염분[psu],3.0557272493287875,0.7,0.8,multiplicative,31.654365184697976
3,득량만1_환경관리,클로로필-a[μg/L],1.284739876238893,0.5,0.9,multiplicative,0.7787549204013644
4,득량만1_환경관리,총인[μg/L],0.6827738806174727,0.7,0.9,multiplicative,34.18910655586806
5,득량만1_환경관리,수온[℃],1.056271161648255,0.7,0.9,multiplicative,16.701926481619626
6,득량만1_환경관리,총질소[μg/L],0.2094347948078477,0.3,0.9,multiplicative,335.9750106084893
7,득량만1_환경관리,용존산소[mg/L],0.9980129286631736,0.3,0.9,additive,8.337576447230381
0,득량만2_환경관리,투명도[m],0.8930332383744058,0.7,0.9,additive,2.0336596340502218
1,득량만2_환경관리,화학적산소요구량[mg/L],0.7229875667294122,0.7,0.9,additive,1.6897636780930014
2,득량만2_환경관리,염분[psu],1.8787612804349934,0.7,0.8,multiplicative,32.03212073779556
3,득량만2_환경관리,클로로필-a[μg/L],1.197305120513171,0.3,0.9,multiplicative,1.3529056814708116
4,득량만2_환경관리,총인[μg/L],0.6747403185397913,0.7,0.8,multiplicative,30.990105861854204
5,득량만2_환경관리,수온[℃],1.1932164486824766,0.3,0.9,additive,16.84564979934571
6,득량만2_환경관리,총질소[μg/L],0.2585463460030661,0.3,0.9,multiplicative,288.3542592760738
7,득량만2_환경관리,용존산소[mg/L],1.0649348112958201,0.3,0.8,additive,8.153549072623116
0,득량만3_환경관리,투명도[m],0.705587856143971,0.3,0.8,additive,2.162585631040466
1,득량만3_환경관리,화학적산소요구량[mg/L],0.6061298914072434,0.7,0.9,additive,1.6616770236570741
2,득량만3_환경관리,염분[psu],1.3933896773866974,0.7,0.8,multiplicative,32.11513517968989
3,득량만3_환경관리,클로로필-a[μg/L],0.6705027494504888,0.5,0.8,multiplicative,3.96954946972765
4,득량만3_환경관리,총인[μg/L],0.33036761983111734,0.7,0.8,multiplicative,31.604384408736248
5,득량만3_환경관리,수온[℃],1.3541470453170406,0.3,0.9,additive,17.246279397032907
6,득량만3_환경관리,총질소[μg/L],0.3110095821725271,0.5,0.9,multiplicative,215.40664083979644
7,득량만3_환경관리,용존산소[mg/L],0.8151302054055317,0.7,0.8,multiplicative,8.734441515365589
0,마산만1_환경관리,투명도[m],0.5053726926430319,0.3,0.8,additive,2.056129105935468
1,마산만1_환경관리,화학적산소요구량[mg/L],0.7136288395667756,0.7,0.9,multiplicative,2.8596791629813194
2,마산만1_환경관리,염분[psu],5.51110400971306,0.7,0.8,multiplicative,31.58740513238154
3,마산만1_환경관리,클로로필-a[μg/L],0.5579415517543816,0.5,0.8,multiplicative,13.08231950042099
4,마산만1_환경관리,총인[μg/L],0.6505199163814781,0.3,0.9,multiplicative,52.89475078355731
5,마산만1_환경관리,수온[℃],1.1305224532657523,0.7,0.9,additive,17.41618909747139
6,마산만1_환경관리,총질소[μg/L],1.078250761876431,0.3,0.8,multiplicative,284.1672531563948
7,마산만1_환경관리,용존산소[mg/L],0.725250145833897,0.3,0.9,additive,9.31815963339318
0,마산만2_환경관리,투명도[m],0.6371779091904675,0.3,0.9,additive,3.755995776811107
1,마산만2_환경관리,화학적산소요구량[mg/L],0.7763764041808254,0.7,0.9,multiplicative,2.6199619674603802
2,마산만2_환경관리,염분[psu],3.1381249982464894,0.5,0.8,multiplicative,31.80449409716281
3,마산만2_환경관리,클로로필-a[μg/L],0.5593000833028539,0.7,0.8,multiplicative,4.476813640926698
4,마산만2_환경관리,총인[μg/L],0.3312451978321671,0.7,0.9,multiplicative,45.705086288920036
5,마산만2_환경관리,수온[℃],1.179589535031352,0.7,0.8,additive,17.217934941943575
6,마산만2_환경관리,총질소[μg/L],0.8787057856816313,0.3,0.9,multiplicative,302.76352051948857
7,마산만2_환경관리,용존산소[mg/L],0.7318422179122197,0.3,0.8,multiplicative,9.454494708008081
0,보령연안1_연안,투명도[m],0.35968224278426514,0.7,0.8,multiplicative,2.0827171897697703
1,보령연안1_연안,화학적산소요구량[mg/L],0.7093748163773604,0.7,0.8,multiplicative,1.1855770166059856
