해역,년도,광역시도,지선,위도,경도,,,,,,,,,,,
동해,2011,강원도,양양군 현북면 기사문리,38.09666667,128.7661111,,,,,,,,,,,
동해,2011,강원도,양양군 현북면 기사문리,38.02527778,128.8091667,,,,,,,,,,,
동해,2011,강원도,양양군 현북면 기사문리,38.1625,128.8886111,,,,,,,,,,,
동해,2011,강원도,양양군 현북면 기사문리,38.2125,128.97,,,,,,,,,,,
동해,2011,강원도,삼척시 원덕읍 신남,37.39138889,129.5086111,,,,,,,,,,,
동해,2011,강원도,삼척시 원덕읍 신남,37.40444444,129.5430556,,,,,,,,,,,
동해,2011,강원도,삼척시 원덕읍 신남,37.46444444,129.3608333,,,,,,,,,,,
동해,2011,강원도,삼척시 원덕읍 신남,37.35027778,129.4505556,,,,,,,,,,,
동해,2011,강원도,삼척시 원덕읍 신남,37.36777778,129.4786111,,,,,,,,,,,
동해,2011,경상북도,울진군 울진읍 현내리,37.20527778,129.4466667,,,,,,,,,,,
동해,2011,경상북도,울진군 울진읍 현내리,37.06861111,129.4466667,,,,,,,,,,,
동해,2011,경상북도,울진군 울진읍 현내리,37.06861111,129.5936111,,,,,,,,,,,
동해,2011,경상북도,울진군 울진읍 현내리,37.20527778,129.5936111,,,,,,,,,,,
동해,2011,부산광역시,영도구 동삼동,35.30305556,129.1291667,,,,,,,,,,,
동해,2011,부산광역시,영도구 동삼동,35.08666667,129.2033333,,,,,,,,,,,
동해,2011,부산광역시,영도구 동삼동,35.21888889,129.3011111,,,,,,,,,,,
동해,2011,부산광역시,영도구 동삼동,35.24388889,129.3355556,,,,,,,,,,,
서해,2011,인천광역시,웅진군 백령면 고봉포,38.23361111,124.7672222,,,,,,,,,,,
서해,2011,인천광역시,웅진군 백령면 고봉포,37.99555556,124.6952778,,,,,,,,,,,
서해,2011,인천광역시,웅진군 백령면 고봉포,38.19805556,124.8169444,,,,,,,,,,,
서해,2011,인천광역시,웅진군 백령면 고봉포,38.22305556,124.8466667,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36.41805556,126.6291667,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36.4075,126.6433333,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36.44888889,126.6616667,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36.42277778,126.6686111,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36.25305556,126.5344444,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36.44805556,126.6983333,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(2단지)",36.43,126.7461111,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(2단지)",36.44583333,126.5408333,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(2단지)",36.42194444,126.7641667,,,,,,,,,,,
서해,2011,충청남도,"보령시 웅천읍 무창포
(2단지)",36.25361111,126.7747222,,,,,,,,,,,
서해,2011,전라북도,군산시 옥도면 장자도,35.99555556,126.4941667,,,,,,,,,,,
서해,2011,전라북도,군산시 옥도면 장자도,35.98861111,126.505,,,,,,,,,,,
서해,2011,전라북도,군산시 옥도면 장자도,35.98722222,126.5311111,,,,,,,,,,,
서해,2011,전라북도,군산시 옥도면 장자도,36.02083333,126.5355556,,,,,,,,,,,
서해,2011,전라북도,군산시 옥도면 장자도,35.82,126.5544444,,,,,,,,,,,
