해역,년도,광역시도,지선,위도,경도,,
동해,2011,강원도,양양군 현북면 기사문리,38° 01.288',128° 44.118',,
동해,2011,강원도,양양군 현북면 기사문리,38° 01.310',128° 44.273',,
동해,2011,강원도,양양군 현북면 기사문리,37° 59.645',128° 44.559',,
동해,2011,강원도,양양군 현북면 기사문리,37° 59.825',128° 44.852',,
동해,2011,강원도,삼척시 원덕읍 신남,37° 16.449',129° 19.691',,
동해,2011,강원도,삼척시 원덕읍 신남,37° 16.496',129° 19.815',,
동해,2011,강원도,삼척시 원덕읍 신남,37° 15.772',129° 20.099',,
동해,2011,강원도,삼척시 원덕읍 신남,37° 15.361',129° 20.422',,
동해,2011,강원도,삼척시 원덕읍 신남,37° 15.424',129° 20.523',,
동해,2011,경상북도,울진군 울진읍 현내리,37° 00.739',129° 25.108',,
동해,2011,경상북도,울진군 울진읍 현내리,37° 00.247',129° 25.108',,
동해,2011,경상북도,울진군 울진읍 현내리,37° 00.247',129° 25.637',,
동해,2011,경상북도,울진군 울진읍 현내리,37° 00.739',129° 25.637',,
동해,2011,부산광역시,영도구 동삼동,35° 03.911',129° 05.165',,
동해,2011,부산광역시,영도구 동삼동,35° 04.072',129° 05.432',,
동해,2011,부산광역시,영도구 동삼동,35° 03.608',129° 05.784',,
동해,2011,부산광역시,영도구 동삼동,35° 03.698',129° 05.908',,
서해,2011,인천광역시,웅진군 백령면 고봉포,37° 58.961',124° 41.302',,
서해,2011,인천광역시,웅진군 백령면 고봉포,37° 59.044',124° 41.430',,
서해,2011,인천광역시,웅진군 백령면 고봉포,37° 58.833',124° 41.481',,
서해,2011,인천광역시,웅진군 백령면 고봉포,37° 58.923',124° 41.588',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36° 14.665',126° 31.405',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36° 14.627',126° 31.456',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36° 14.776',126° 31.522',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36° 14.682',126° 31.547',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36° 14.710',126° 31.640',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(1단지)",36° 14.773',126° 31.654',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(2단지)",36° 14.708',126° 31.826',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(2단지)",36° 14.765',126° 31.870',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(2단지)",36° 14.679',126° 31.891',,
서해,2011,충청남도,"보령시 웅천읍 무창포
(2단지)",36° 14.730',126° 31.929',,
서해,2011,전라북도,군산시 옥도면 장자도,35° 48.704',126° 23.399',,
서해,2011,전라북도,군산시 옥도면 장자도,35° 48.679',126° 23.438',,
서해,2011,전라북도,군산시 옥도면 장자도,35° 48.674',126° 23.532',,
서해,2011,전라북도,군산시 옥도면 장자도,35° 48.795',126° 23.548',,
서해,2011,전라북도,군산시 옥도면 장자도,35° 48.720',126° 23.616',,
서해,2011,전라북도,군산시 옥도면 장자도,35° 48.715',126° 23.687',,
서해,2011,전라북도,"군산시 옥도면 장자도
(잘피)",35° 48.715',126° 23.687',,
서해,2011,전라북도,"군산시 옥도면 장자도
(잘피)",35° 48.752',126° 23.725',,
서해,2011,전라북도,"군산시 옥도면 장자도
(잘피)",35° 48.681',126° 23.757',,
서해,2011,전라북도,"군산시 옥도면 장자도
(잘피)",35° 48.717',126° 23.791',,
남해,2011,경상남도,통영시 사량면 사량도,34° 51.181',128° 09.888',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.557',128° 10.055',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.392',128° 10.058',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.841',128° 10.122',,
남해,2011,경상남도,통영시 사량면 사량도,34° 51.133',128° 10.124',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.428',128° 10.348',,
남해,2011,경상남도,통영시 사량면 사량도,34° 51.259',128° 10.530',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.121',128° 10.579',,
남해,2011,경상남도,통영시 사량면 사량도,34° 49.864',128° 10.585',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.321',128° 10.619',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.112',128° 10.703',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.012',128° 10.768',,
남해,2011,경상남도,통영시 사량면 사량도,34° 49.712',128° 10.830',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.281',128° 10.869',,
남해,2011,경상남도,통영시 사량면 사량도,34° 49.513',128° 10.899',,
남해,2011,경상남도,통영시 사량면 사량도,34° 51.319',128° 10.916',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.188',128° 11.026',,
남해,2011,경상남도,통영시 사량면 사량도,34° 50.030',128° 11.061',,
남해,2011,경상남도,통영시 사량면 사량도,34° 49.504',128° 11.061',,
남해,2011,경상남도,통영시 사량면 사량도,34° 49.623',128° 11.071',,
남해,2011,경상남도,통영시 사량면 사량도,34° 51.609',128° 11.194',,
남해,2011,경상남도,통영시 사량면 사량도,34° 51.463',128° 11.234',,
남해,2011,전라남도,"여수시 삼산면 거문도
(거문리)",34° 01.419',127° 19.291',,
남해,2011,전라남도,"여수시 삼산면 거문도
(거문리)",34° 01.234',127° 19.364',,
남해,2011,전라남도,"여수시 삼산면 거문도
(거문리)",34° 01.331',127° 19.394',,
남해,2011,전라남도,"여수시 삼산면 거문도
(거문리)",34° 01.265',127° 19.407',,
남해,2011,전라남도,"여수시 삼산면 거문도
(거문리)",34° 01.360',127° 19.558',,
남해,2011,전라남도,"여수시 삼산면 거문도
(거문리)",34° 01.492',127° 19.578',,
남해,2011,전라남도,"여수시 삼산면 거문도
(거문리)",34° 01.263',127° 19.623',,
제주도,2011,제주도,제주시 애월읍 동귀리,33° 29.348',126° 25.101',,
제주도,2011,제주도,제주시 애월읍 동귀리,33° 29.484',126° 24.241',,
제주도,2011,제주도,제주시 애월읍 동귀리,33° 29.123',126° 24.287',,
제주도,2011,제주도,제주시 애월읍 동귀리,33° 29.783',126° 24.326',,
제주도,2011,제주도,제주시 애월읍 동귀리,33° 29.177',126° 24.482',,
제주도,2011,제주도,제주시 애월읍 동귀리,33° 29.897',126° 24.560',,
제주도,2011,제주도,제주시 애월읍 동귀리,33° 29.393',126° 24.633',,
제주도,2011,제주도,제주시 애월읍 동귀리,33° 29.842',126° 24.752',,
제주도,2011,제주도,서귀포시 하예동,33° 13.636',126° 22.063',,
제주도,2011,제주도,서귀포시 하예동,33° 13.946',126° 22.095',,
제주도,2011,제주도,서귀포시 하예동,33° 13.991',126° 23.059',,
제주도,2011,제주도,서귀포시 하예동,33° 13.825',126° 23.751',,
제주도,2011,제주도,서귀포시 하예동,33° 14.434',126° 23.791',,
제주도,2011,제주도,서귀포시 하예동,33° 14.099',126° 24.334',,
동해,2012,강원도,"강릉시 주문진읍 주문리
(소돌)",37° 55.178',128° 48.608',,
동해,2012,강원도,"강릉시 주문진읍 주문리
(소돌)",37° 55.344',128° 48.783',,
동해,2012,강원도,"강릉시 주문진읍 주문리
(소돌)",37° 55.205',128° 48.993',,
동해,2012,강원도,"강릉시 주문진읍 주문리
(소돌)",37° 55.371',128° 49.168',,
동해,2012,강원도,"강릉시 주문진읍 주문리
(소돌)",37° 54.345',128° 49.865',,
동해,2012,강원도,"강릉시 주문진읍 주문리
(소돌)",37° 54.677',128° 50.215',,
동해,2012,강원도,삼척시 원덕읍 갈남리,37° 17.149',129° 19.268',,
동해,2012,강원도,삼척시 원덕읍 갈남리,37° 17.200',129° 19.587',,
동해,2012,강원도,삼척시 원덕읍 갈남리,37° 16.698',129° 19.811',,
동해,2012,강원도,삼척시 원덕읍 갈남리,37° 16.940',129° 19.923',,
