번호 ,지역,rf예측치,현재 갯녹음 비율,위험도
001,가로림연안1_연안,4.90 ,4.9,0.00 
002,가로림연안2_연안,4.83 ,4.9,-0.07 
003,가로림연안3_연안,4.83 ,4.9,-0.07 
004,가막만1_환경관리,11.01 ,15.1,-4.09 
005,가막만2_환경관리,11.54 ,15.1,-3.56 
006,가막만3_환경관리,11.47 ,15.1,-3.63 
007,감포연안1_연안,51.03 ,46.4,4.63 
008,감포연안2_연안,41.49 ,46.4,-4.91 
009,강구연안1_연안,40.84 ,52.1,-11.26 
010,강릉연안1_연안,44.39 ,39.7,4.69 
011,강릉연안2_연안,41.93 ,39.7,2.23 
012,강릉연안3_연안,41.69 ,39.7,1.99 
013,강릉연안4_연안,48.26 ,39.7,8.56 
014,강릉연안5_연안,43.82 ,39.7,4.12 
015,거제도남안1_연안,14.08 ,13.5,0.58 
016,거제도남안2_연안,22.74 ,13.5,9.24 
017,거제도남안3_연안,20.59 ,13.5,7.09 
018,거제도남안4_연안,12.57 ,13.5,-0.93 
019,거제도동안1_연안,14.14 ,13.5,0.64 
020,거제도동안2_연안,17.60 ,13.5,4.10 
021,거제도동안3_연안,16.08 ,13.5,2.58 
022,거제도동안4_연안,14.04 ,13.5,0.54 
023,고성자란만1_연안,15.55 ,5.3,10.25 
024,고성자란만2_연안,12.95 ,5.3,7.65 
025,고성자란만3_연안,11.17 ,5.3,5.87 
026,고창연안1_연안,8.04 ,8.4,-0.36 
027,고창연안2_연안,8.21 ,8.4,-0.19 
028,고창연안4_연안,8.49 ,8.4,0.09 
029,고흥연안1_연안,14.16 ,5.9,8.26 
030,고흥연안2_연안,19.87 ,5.9,13.97 
031,고흥연안3_연안,15.85 ,5.9,9.95 
032,고흥연안4_연안,13.27 ,5.9,7.37 
033,고흥연안5_연안,13.39 ,5.9,7.49 
034,구룡포연안1_연안,39.60 ,59.3,-19.70 
035,구룡포연안2_연안,43.43 ,59.3,-15.87 
036,군산연안10_연안,11.48 ,4.2,7.28 
037,군산연안1_연안,8.36 ,4.2,4.16 
038,군산연안2_연안,10.42 ,4.2,6.22 
039,군산연안3_연안,5.88 ,4.2,1.68 
040,군산연안4_연안,9.34 ,4.2,5.14 
041,군산연안5_연안,9.32 ,4.2,5.12 
042,군산연안6_연안,9.20 ,4.2,5.00 
043,군산연안7_연안,9.52 ,4.2,5.32 
044,군산연안8_연안,8.01 ,4.2,3.81 
045,군산연안9_연안,17.54 ,4.2,13.34 
046,기장연안1_연안,51.81 ,39.2,12.61 
047,기장연안2_연안,47.62 ,39.2,8.42 
048,기장연안3_연안,50.51 ,39.2,11.31 
049,남해도남안1_연안,15.03 ,17.8,-2.77 
050,남해도남안2_연안,16.57 ,17.8,-1.23 
051,남해도남안3_연안,15.64 ,17.8,-2.16 
052,남해도남안4_연안,15.48 ,17.8,-2.32 
053,남해도남안5_연안,11.12 ,17.8,-6.68 
054,도암만1_환경관리,17.39 ,8.3,9.09 
055,도암만2_환경관리,10.34 ,8.3,2.04 
056,동해연안1_연안,42.05 ,42.1,-0.05 
057,동해연안2_연안,41.18 ,42.1,-0.92 
058,동해연안3_연안,41.69 ,42.1,-0.41 
059,동해연안4_연안,41.86 ,42.1,-0.24 
060,득량만1_환경관리,10.32 ,7.2,3.12 
061,득량만2_환경관리,11.81 ,7.2,4.61 
062,득량만3_환경관리,15.04 ,7.2,7.84 
063,마산만1_환경관리,11.52 ,12.5,-0.98 
064,마산만2_환경관리,11.53 ,12.5,-0.97 
065,보령연안1_연안,12.33 ,16.4,-4.07 
066,보령연안2_연안,15.03 ,16.4,-1.37 
067,보령연안3_연안,13.25 ,16.4,-3.15 
068,부산연안1_환경관리,18.38 ,39.2,-20.82 
069,부산연안2_환경관리,25.64 ,39.2,-13.56 
070,부산연안3_환경관리,28.58 ,39.2,-10.62 
071,부산연안4_환경관리,18.62 ,21.6,-2.98 
072,사천연안1_연안,14.63 ,5.7,8.93 
073,사천연안2_연안,12.32 ,5.7,6.62 
074,사천연안3_연안,20.78 ,5.7,15.08 
075,삼척연안1_연안,41.69 ,38,3.69 
076,삼척연안2_연안,44.58 ,38,6.58 
077,삼척연안3_연안,42.28 ,38,4.28 
078,속초연안2_연안,42.05 ,46.9,-4.85 
079,속초연안3_연안,42.10 ,46.9,-4.80 
080,속초연안4_연안,41.64 ,46.9,-5.26 
081,신안연안1_연안,8.76 ,8.3,0.46 
082,신안연안2_연안,9.19 ,8.3,0.89 
083,양양연안1_연안,41.93 ,42.3,-0.37 
084,양양연안2_연안,41.93 ,42.3,-0.37 
085,여수연안1_연안,11.60 ,15.1,-3.50 
086,여수연안2_연안,12.87 ,15.1,-2.23 
087,여수연안3_연안,10.21 ,15.1,-4.89 
088,여수연안4_연안,14.40 ,15.1,-0.70 
089,여수연안5_연안,14.77 ,15.1,-0.33 
090,영일만10_연안,55.38 ,59.3,-3.92 
091,영일만11_연안,55.38 ,59.3,-3.92 
092,영일만12_연안,43.17 ,59.3,-16.13 
093,영일만2_연안,52.49 ,59.3,-6.81 
094,영일만3_연안,52.49 ,59.3,-6.81 
095,영일만4_연안,51.19 ,59.3,-8.11 
096,영일만5_연안,50.53 ,59.3,-8.77 
097,영일만6_연안,49.12 ,59.3,-10.18 
098,영일만7_연안,49.95 ,59.3,-9.35 
099,영일만8_연안,50.53 ,59.3,-8.77 
100,영일만9_연안,46.01 ,59.3,-13.29 
101,온산연안1_환경관리,50.42 ,51,-0.58 
102,온산연안2_환경관리,44.67 ,51,-6.33 
103,온산연안3_환경관리,52.18 ,51,1.18 
104,완도연안1_환경관리,12.37 ,9.8,2.57 
105,완도연안2_환경관리,8.24 ,9.8,-1.56 
106,완도연안3_환경관리,11.80 ,9.8,2.00 
107,완도연안4_환경관리,13.96 ,9.8,4.16 
108,완도연안5_환경관리,8.35 ,9.8,-1.45 
109,울산연안1_환경관리,47.92 ,51,-3.08 
110,울산연안2_환경관리,53.28 ,51,2.28 
111,울산연안3_환경관리,53.30 ,51,2.30 
112,울산연안4_환경관리,53.00 ,51,2.00 
113,월포연안1_연안,43.72 ,59.3,-15.58 
114,인천연안10_환경관리,10.91 ,12.6,-1.69 
115,인천연안11_환경관리,11.43 ,12.6,-1.17 
116,인천연안12_환경관리,10.28 ,12.6,-2.32 
117,인천연안13_환경관리,12.20 ,12.6,-0.40 
118,인천연안14_환경관리,10.21 ,12.6,-2.39 
119,인천연안15_환경관리,11.75 ,12.6,-0.85 
120,인천연안1_환경관리,6.72 ,12.6,-5.88 
121,인천연안2_환경관리,10.08 ,12.6,-2.52 
122,인천연안3_환경관리,9.24 ,12.6,-3.36 
123,인천연안4_환경관리,11.30 ,12.6,-1.30 
124,인천연안5_환경관리,10.91 ,12.6,-1.69 
125,인천연안6_환경관리,10.28 ,12.6,-2.32 
126,인천연안7_환경관리,11.30 ,12.6,-1.30 
127,인천연안8_환경관리,10.67 ,12.6,-1.93 
128,인천연안9_환경관리,11.82 ,12.6,-0.78 
129,전주포연안1_연안,5.49 ,4.2,1.29 
130,전주포연안2_연안,4.41 ,4.2,0.21 
131,전주포연안3_연안,13.16 ,8.4,4.76 
132,전주포연안4_연안,9.48 ,8.4,1.08 
133,전주포연안5_연안,8.37 ,8.4,-0.03 
134,전주포연안6_연안,15.07 ,8.4,6.67 
135,주문진연안1_연안,49.13 ,39.7,9.43 
136,주문진연안2_연안,39.84 ,39.7,0.14 
137,주문진연안3_연안,40.94 ,39.7,1.24 
138,주문진연안4_연안,39.60 ,39.7,-0.10 
139,주문진연안5_연안,44.21 ,39.7,4.51 
140,죽변연안1_연안,41.22 ,50.7,-9.48 
141,죽변연안2_연안,40.66 ,50.7,-10.04 
142,죽변연안3_연안,39.94 ,50.7,-10.76 
143,죽변연안4_연안,42.04 ,50.7,-8.66 
144,진주만1_연안,12.37 ,5.7,6.67 
145,진주만2_연안,14.24 ,17.8,-3.56 
146,진해만1_환경관리,13.08 ,12.5,0.58 
147,진해만2_환경관리,12.52 ,12.5,0.02 
148,축산연안1_연안,41.56 ,52.1,-10.54 
149,태안연안1_연안,4.83 ,4.9,-0.07 
150,태안연안2_연안,4.76 ,4.9,-0.14 
151,태안연안3_연안,5.84 ,4.9,0.94 
152,태안연안4_연안,8.14 ,4.9,3.24 
153,태안연안5_연안,5.98 ,4.9,1.08 
154,통영연안1_연안,14.80 ,15.9,-1.10 
155,통영연안2_연안,18.07 ,15.9,2.17 
156,통영연안4_연안,18.94 ,15.9,3.04 
